,BPL.BLD.ID,X2.1,X2.3,X2.4,X3.1,X3.2,X3.4,X3.6,X4.1,X4.2,X4.3,X4.5,X4.6,X4.7,X4.8,X5.4,X5.5,X6.1,X6.2,X7.1,X7.2,X7.3,X8.1,X8.2,X8.3,X8.4,X8.5
122,1310,0,0,0,NA,-0.5,0,0,0,0,NA,NA,0,NA,NA,NA,NA,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA
123,1312,NA,-0.25,NA,0.5,NA,NA,0,0.2,0,0,NA,0,0,0.4,NA,0,NA,NA,0,NA,NA,-0.4,NA,NA,NA,NA
124,1313,NA,NA,NA,0.25,NA,0,-0.5,NA,NA,NA,-0.4,NA,NA,NA,1,1,NA,NA,NA,NA,NA,0,0,NA,NA,0
125,1314,NA,NA,NA,0,0.5,-0.6,0,-1,0,0.6,-0.2,0,0.6,0,0,0.6,NA,NA,NA,NA,NA,0,0.6,0.5,0.5,0
126,1316,0,-0.5,-0.5,0,0,0,-0.5,NA,0,0,NA,0.4,0,0.4,0,0,0,0,0,0,NA,0,0,NA,NA,NA
127,1318,0,-1,0,0.5,0,0,-0.25,NA,NA,0,NA,0.4,0,NA,NA,NA,0,0,-1,0,0,NA,NA,NA,NA,NA
128,1320,0,-0.75,NA,NA,NA,NA,NA,0,0,NA,NA,0,0,-0.6,NA,0.6,0,0,0,NA,NA,NA,NA,NA,NA,NA
129,1321,-1,0,0,0.5,-0.5,0,0.25,-0.2,0.6,0.6,0,0,0,-0.6,1,NA,0,0,0,0,1,-0.2,-1,0.5,-1,-0.5
130,1322,NA,NA,-1,NA,NA,NA,0,NA,-0.2,-0.2,0,-0.2,-0.4,0,0,-0.2,0,-0.25,-0.2,-0.25,NA,-0.2,-1,-0.75,-0.75,NA
131,1323,0,0,-0.5,NA,0.5,0,0.5,NA,0,0,-0.6,0.4,0,-1,0.5,NA,0.75,0,0,0,0,1,0,0,0,0
132,1324,NA,NA,NA,0,0,0,0,1,0,0,0,0,0,0,-0.5,0,NA,NA,NA,NA,NA,0,0,0,NA,NA
133,1325,0,0,-0.5,-0.25,-1,1,-1,NA,0.4,0,0,0,0,0,NA,-0.4,1,-1,0,0,0,0,0,0,-1,-1
134,1327,0,0,0.5,-0.5,0,0,0,0.4,0,0,0,0,1,-1,NA,NA,0,0,0,0,-1,NA,NA,NA,NA,NA
135,1328,1,0,0,NA,NA,NA,0,0,0,-1,1,0,-0.4,0.6,NA,NA,0,0,0,0,NA,-1,0,NA,NA,NA
136,1329,0,1,1,0,0.5,0,0.5,1,1,1,1,0.6,0,0.6,NA,NA,0,0,0,0,0.25,0,0,1,1,1
137,1330,NA,0.25,-0.5,NA,NA,-1,0.75,-1,-1,0,0,0,1,1,-1,0,1,0,0,0,0,0,0,0.75,0,0
