BPL.BLD.ID,1.2,2.1,2.3,2.4,2.5,3.1,3.2,3.4,3.5,3.6,4.1,4.2,4.3,4.5,4.6,4.7,4.8,5.1,5.3,5.4,5.5,5.6,6.1,6.2,7.1,7.2,7.3,8.1,8.2,8.3,8.4,8.5,Age,Experience,LogCheck
1147,Daily,Daily,Seasonally,Never,Seasonally,Never,Never,Never,Daily,Seasonally,Never,Not applicable,Not applicable,Not applicable,Seasonally,Not applicable,Not applicable,Daily,Daily,Not applicable,Not applicable,Not applicable,Daily,Daily,Never,Never,Never,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,55+,20+Y,Y
1148,Daily,Weekly,Daily,Daily,Weekly,Daily,Daily,Never,Daily,Weekly,Daily,Daily,Daily,Daily,Daily,Daily,Weekly,Daily,Daily,Not applicable,Not applicable,Not applicable,Daily,Daily,Daily,Daily,Seasonally,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,55+,20+Y,Y
1150,Daily,Daily,Daily,Daily,Daily,Daily,Daily,Never,Daily,Daily,Never,Daily,Daily,Daily,Not applicable,Not applicable,Not applicable,Daily,Daily,Not applicable,Not applicable,Not applicable,Daily,Daily,Daily,Daily,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,44-54,15-20Y,Y
1151,Daily,Daily,Seasonally,Never,Seasonally,NA,Daily,Daily,Daily,Seasonally,Never,NA,Daily,Weekly,Daily,Never,Seasonally,Daily,Daily,Not applicable,Not applicable,Seasonally,Daily,Daily,Not applicable,Never,Never,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,44-54,10-15Y,
1153,Monthly,Daily,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Daily,Not applicable,Not applicable,Daily,Daily,Not applicable,Daily,Daily,Not applicable,Daily,Daily,Daily,Daily,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,44-54,20+Y,Y
1155,Daily,Daily,Weekly,Never,Weekly,Daily,Seasonally,Not applicable,Daily,Daily,Not applicable,Daily,Daily,Daily,Daily,Daily,Daily,Daily,Daily,Daily,Daily,Daily,Never,Daily,Daily,Never,Never,Daily,Never,Never,Never,Never,55+,20+Y,
1158,Daily,NA,Seasonally,Weekly,Weekly,Daily,Never,Never,Daily,NA,Never,Daily,Daily,Daily,Not applicable,Not applicable,Not applicable,Daily,Daily,Not applicable,Not applicable,Not applicable,Daily,Daily,Daily,Daily,Never,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,55+,20+Y,Y
1159,Daily,Daily,Never,Never,Never,Never,Never,Never,Daily,Daily,Never,Never,Never,Never,Not applicable,Not applicable,Not applicable,Daily,Daily,Never,Never,Not applicable,Daily,Daily,Weekly,Never,Never,Daily,Never,Daily,Never,Daily,55+,20+Y,
1160,Not applicable,Not applicable,Monthly,Never,Monthly,Daily,Never,Not applicable,Not applicable,Weekly,Not applicable,Daily,Daily,Seasonally,Daily,Daily,Daily,Not applicable,Not applicable,Weekly,Daily,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Daily,Never,Never,Never,Weekly,35-44,10-15Y,Y
1162,Daily,Never,Never,Never,Never,Daily,Never,Never,Weekly,Never,Never,Daily,Never,Daily,Daily,Never,Daily,Daily,Daily,Never,Never,Never,Never,Daily,Weekly,Never,Never,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,44-54,20+Y,
1163,Daily,Daily,Daily,Daily,Seasonally,Daily,Daily,Daily,Daily,Daily,Never,Daily,Daily,Daily,Daily,Daily,Daily,Daily,Daily,Daily,Daily,Not applicable,Daily,Daily,Daily,Daily,Daily,Daily,Daily,Never,Never,Daily,55+,15-20Y,
1169,Daily,Never,Daily,NA,Annually,Daily,Daily,Never,Daily,Daily,Weekly,Weekly,Daily,Monthly,Daily,Weekly,Seasonally,Weekly,Seasonally,Daily,Daily,Monthly,Weekly,Weekly,Daily,Daily,Never,NA,NA,NA,NA,NA,55+,20+Y,
1170,Daily,Monthly,Seasonally,Annually,Annually,Daily,Daily,Never,Daily,Daily,Daily,Seasonally,Daily,Daily,Weekly,Daily,Seasonally,Daily,Daily,Daily,Daily,Monthly,Monthly,Never,Daily,Monthly,Annually,Daily,Never,Never,Never,Monthly,55+,20+Y,
1174,Monthly,Daily,Seasonally,Not applicable,Seasonally,Seasonally,Not applicable,Not applicable,Never,Seasonally,Daily,Daily,Not applicable,Not applicable,Daily,Not applicable,Never,Daily,Daily,Daily,Not applicable,Never,Daily,Not applicable,Daily,Never,Never,Daily,Not applicable,Never,Never,Never,44-54,15-20Y,
1175,Daily,Daily,Daily,Monthly,Monthly,Weekly,Weekly,Daily,Daily,Daily,Seasonally,Monthly,Monthly,Monthly,Daily,Monthly,Monthly,Daily,Daily,Daily,Daily,Monthly,Daily,Daily,Weekly,Monthly,Never,Daily,Daily,Not applicable,Not applicable,Daily,44-54,20+Y,Y
1176,Monthly,Monthly,Not applicable,Not applicable,Not applicable,Daily,Daily,Never,Daily,Seasonally,Not applicable,Not applicable,Not applicable,Not applicable,Daily,Never,Daily,Daily,Never,Daily,Never,Daily,Never,Never,Never,Never,Never,Weekly,Never,Not applicable,Not applicable,Not applicable,44-54,15-20Y,
